class; scale_check ; X ; Y ; Z
Bed;1;1;0.824798;0.572659
Bed;1;1;0.836801;0.523158
Bed;1;1;0.895387;0.608647
Bed;1;1;0.488273;0.347835
Bed;1;1;0.493375;0.330588
Bed;1;0.996971;1;0.314781
Bed;1;1;0.429238;0.4829
Bed;1;1;0.741025;0.387879
Bed;1;1;0.666937;0.389182
Bed;1;1;0.664577;0.476773
Bed;1;0.897881;1;0.469502
Bed;1;1;0.721739;0.304576
Bed;1;1;0.522209;0.399739
Bed;1;1;0.673071;0.472262
Bed;1;1;0.366406;0.446924
Bed;1;1;0.799762;0.406565
Bed;1;1;0.854495;0.561463
Bed;1;1;0.657082;0.395565
Bed;1;1;0.694751;0.697904
Bed;1;1;0.492717;0.485919
Bed;1;1;0.71663;0.416482
Bed;1;0.945995;1;0.922908
Bed;1;1;0.976701;0.515273
Bed;1;1;0.953697;0.727826
Bed;1;1;0.830406;0.421479
Biplane;1;1;0.510302;0.197253
Biplane;1;1;0.645152;0.169861
Biplane;1;0.694441;1;0.234161
Biplane;1;1;0.760339;0.277979
Biplane;1;1;0.517336;0.167445
Biplane;1;0.811886;1;0.434366
Biplane;1;0.733272;1;0.253089
Biplane;1;1;0.596801;0.225536
Biplane;1;0.798133;1;0.318412
Biplane;1;1;0.512333;0.202112
Biplane;1;1;0.681257;0.243336
Biplane;1;0.876961;1;0.287858
Biplane;1;1;0.849478;0.43534
Biplane;1;1;0.471672;0.230424
Biplane;1;0.7922;1;0.280216
Biplane;1;1;0.790953;0.299829
Biplane;1;0.967238;1;0.213663
Biplane;1;1;0.721953;0.264091
Biplane;1;1;0.896875;0.320158
Biplane;1;0.695868;1;0.231395
Biplane;1;1;0.541773;0.251542
Biplane;1;0.991152;1;0.375675
Biplane;1;1;0.902587;0.315154
Biplane;1;0.795375;1;0.321419
Biplane;1;0.960064;1;0.285
Biplane;1;0.699841;1;0.273749
Biplane;1;1;0.635037;0.194734
Biplane;1;0.829132;1;0.261742
Biplane;1;1;0.81913;0.227717
Biplane;1;0.831424;1;0.210203
Biplane;1;0.985519;1;0.215834
Biplane;1;0.713171;1;0.297347
Biplane;1;0.732962;1;0.215856
Biplane;1;1;0.75519;0.19249
Biplane;1;0.808663;1;0.276506
Biplane;1;1;0.549462;0.141743
Biplane;1;1;0.539286;0.160342
Biplane;1;0.572339;1;0.209699
Biplane;1;1;0.468286;0.104859
Biplane;1;1;0.965093;0.358171
Biplane;1;1;0.655443;0.268594
Biplane;1;1;0.640303;0.29968
Biplane;1;1;0.51077;0.198417
Biplane;1;1;0.734487;0.260371
Biplane;1;1;0.91344;0.273339
Bird;1;1;0.537542;0.252731
Bird;1;1;0.828185;0.500706
Bird;1;1;0.529229;0.261574
Bird;1;1;0.779843;0.299517
Bird;1;1;0.660516;0.234521
Bird;1;1;0.470416;0.236459
Bird;1;1;0.257715;0.0380611
Bird;1;1;0.311018;0.10554
Bird;1;1;0.450536;0.131883
Bird;1;1;0.613222;0.497225
Bird;1;1;0.348907;0.182675
Bird;1;1;0.376948;0.100202
Bird;1;1;0.692721;0.460886
Bird;1;1;0.293858;0.26047
Bird;1;1;0.481258;0.139943
Bird;1;1;0.872867;0.362139
Bird;1;1;0.479506;0.255499
Bird;1;1;0.749158;0.441232
Bird;1;1;0.576794;0.124043
Bird;1;1;0.344778;0.134628
Bird;1;1;0.509588;0.432363
Bird;1;1;0.369623;0.256677
Bird;1;1;0.364929;0.310889
Bird;1;1;0.505851;0.429603
Bird;1;1;0.52554;0.33381
Bird;1;1;0.820024;0.584404
Bird;1;1;0.532599;0.246459
Bird;1;0.887736;1;0.672257
Bird;1;0.957062;1;0.868325
Bird;1;1;0.753401;0.392535
Bird;1;1;0.344961;0.13869
Bird;1;0.869824;1;0.215917
Bird;1;1;0.293503;0.259219
Bird;1;1;0.45059;0.131709
Bird;1;1;0.445152;0.200152
Bird;1;0.7319;1;0.301472
Bird;1;1;0.545499;0.252242
Bird;1;1;0.471324;0.234241
Bird;1;1;0.701364;0.1253
Bird;1;1;0.484897;0.452866
Bird;1;1;0.824402;0.664987
Bird;1;1;0.513481;0.37961
Bird;1;1;0.56354;0.44894
Bird;1;1;0.611815;0.971593
Bookset;1;1;0.66236;0.616643
Bookset;1;1;0.692288;0.499505
Bookset;1;1;0.766256;0.568081
Bookset;1;1;0.397473;0.268058
Bookset;1;1;0.810786;0.742509
Bookset;1;1;0.795589;0.717556
Bookset;1;1;0.632637;0.47728
Bookset;1;1;0.62423;0.475103
Bookset;1;1;0.598939;0.553493
Bookset;1;1;0.676676;0.405135
Bookset;1;1;0.977656;0.791257
Bookset;1;1;0.755313;0.758002
Bookset;1;1;0.759959;0.645353
Bookset;1;1;0.506779;0.306562
Bookset;1;1;0.844232;0.911981
Bookset;1;1;0.953866;0.596635
Bookset;1;0.955311;1;0.641864
Bookset;1;1;0.69932;0.574635
Bookset;1;1;0.375485;0.225964
Bookset;1;1;0.639952;0.582115
Bottle;1;1;0.250488;0.253376
Bottle;1;1;0.230631;0.230635
Bottle;1;1;0.244688;0.239292
Bottle;1;1;0.46229;0.326796
Bottle;1;1;0.312286;0.311779
Bottle;1;1;0.291641;0.291506
Bottle;1;1;0.29676;0.29955
Bottle;1;1;0.396907;0.39691
Bottle;1;1;0.272497;0.27199
Bottle;1;1;0.252284;0.243071
Bottle;1;1;0.515765;0.513037
Bottle;1;1;0.398187;0.397166
Bottle;1;1;0.308535;0.308747
Bottle;1;1;0.243668;0.243103
Bottle;1;1;0.429954;0.430092
Bottle;1;1;0.492674;0.166634
Bottle;1;1;0.307144;0.306734
Bottle;1;1;0.252362;0.25223
Bottle;1;1;0.423038;0.423339
Bottle;1;1;0.255801;0.255803
Bottle;1;1;0.2943;0.298597
Bottle;1;1;0.244861;0.24455
Bottle;1;1;0.274348;0.276611
Bottle;1;1;0.280666;0.279744
Bottle;1;1;0.297349;0.295095
Bottle;1;1;0.276215;0.276773
Bottle;1;1;0.360456;0.358009
Bottle;1;1;0.316806;0.31607
Bottle;1;1;0.351772;0.351827
Bottle;1;1;0.526678;0.443841
Bottle;1;1;0.276422;0.276423
BuildingNonResidential;1;0.946616;1;0.678743
BuildingNonResidential;1;1;0.622627;0.609506
BuildingNonResidential;1;1;0.899774;0.2703
BuildingNonResidential;1;0.996157;1;0.904951
BuildingNonResidential;1;1;0.99076;0.94006
BuildingNonResidential;1;0.958924;1;0.4313
BuildingNonResidential;1;1;0.739365;0.809053
BuildingNonResidential;1;1;0.768678;0.72816
BuildingNonResidential;1;1;0.868736;0.595609
BuildingNonResidential;1;1;0.720478;0.314758
BuildingNonResidential;1;1;0.970443;0.796915
BuildingNonResidential;1;0.984691;0.978035;1
BuildingNonResidential;1;0.93382;0.901331;1
BuildingNonResidential;1;0.860651;1;0.99846
BuildingNonResidential;1;0.964839;1;0.998916
BuildingNonResidential;1;1;0.862885;0.606688
BuildingNonResidential;1;0.997513;1;0.593805
BuildingNonResidential;1;1;0.875092;0.812417
BuildingNonResidential;1;0.999992;1;0.200511
BuildingNonResidential;1;1;0.680736;0.659809
BuildingNonResidential;1;1;0.721428;0.413666
BuildingNonResidential;1;1;0.98177;0.721542
BuildingNonResidential;1;1;0.763222;0.740867
BuildingNonResidential;1;1;0.735597;0.687484
BuildingNonResidential;1;1;0.653456;0.588106
BuildingNonResidential;1;1;0.601822;0.219877
BuildingNonResidential;1;0.999654;1;0.374802
BuildingNonResidential;1;1;0.519742;0.110119
BuildingNonResidential;1;0.906933;0.876513;1
BuildingNonResidential;1;0.99955;1;0.634415
BuildingNonResidential;1;1;0.68208;0.468654
BuildingNonResidential;1;1;0.517714;0.408361
BuildingNonResidential;1;1;0.732364;0.652541
BuildingNonResidential;1;1;0.691211;0.392028
BuildingNonResidential;1;1;0.593607;0.322165
BuildingNonResidential;1;0.676868;1;0.177444
BuildingNonResidential;1;1;0.227466;0.19592
BuildingNonResidential;1;1;0.458126;0.455483
BuildingNonResidential;1;1;0.993996;0.744318
BuildingNonResidential;1;1;0.718417;0.815197
BuildingNonResidential;1;1;0.401679;0.345607
BuildingNonResidential;1;1;0.860263;0.158415
BuildingNonResidential;1;1;0.517273;0.267007
BuildingNonResidential;1;1;1;0.210711
Bus;1;1;0.214553;0.271196
Bus;1;1;0.59072;0.349455
Bus;1;1;0.362298;0.256596
Bus;1;1;0.247245;0.681779
Bus;1;1;0.197161;0.271479
Bus;1;1;0.248758;0.24485
Bus;1;1;0.337242;0.263454
Bus;1;1;0.323379;0.311756
Bus;1;1;0.330816;0.212958
Bus;1;1;0.347272;0.432858
Bus;1;1;0.429428;0.424631
Bus;1;1;0.304922;0.326951
Bus;1;1;0.423177;0.51222
Bus;1;1;0.199003;0.304619
Bus;1;1;0.383641;0.209597
Bus;1;1;0.397444;0.268285
Bus;1;1;0.329615;0.228235
Bus;1;1;0.300916;0.290802
Bus;1;1;0.407737;0.489963
Bus;1;1;0.274975;0.329404
Car;1;1;0.371885;0.331588
Car;1;1;0.454233;0.513384
Car;1;1;0.478424;0.425749
Car;1;1;0.400577;0.305568
Car;1;1;0.668597;0.514545
Car;1;1;0.474421;0.279203
Car;1;1;0.484119;0.466387
Car;1;1;0.536677;0.429973
Car;1;1;0.536987;0.30508
Car;1;1;0.469077;0.429683
Car;1;1;0.397105;0.264541
Car;1;1;0.37379;0.279253
Car;1;1;0.382295;0.339047
Car;1;1;0.463843;0.443682
Car;1;1;0.431477;0.379035
Car;1;1;0.441168;0.41241
Car;1;1;0.447509;0.304999
Car;1;1;0.313287;0.230016
Car;1;1;0.383043;0.387728
Car;1;1;0.56067;0.412369
Car;1;1;0.441721;0.464231
Car;1;1;0.440702;0.406316
Car;1;1;0.479231;0.396437
Car;1;1;0.573489;0.540459
Car;1;1;0.492743;0.496924
Car;1;1;0.517294;0.42575
Car;1;1;0.516518;0.545836
Car;1;1;0.449055;0.352157
Car;1;1;0.368027;0.353168
Car;1;1;0.335207;0.326679
Car;1;1;0.359936;0.293968
Car;1;1;0.526242;0.475299
Car;1;1;0.422238;0.376582
Car;1;1;0.549871;0.215391
Car;1;1;0.186686;0.198141
Car;1;1;0.448627;0.208829
Car;1;1;0.385115;0.199443
Car;1;1;0.564719;0.269277
Car;1;1;0.433471;0.203161
Car;1;1;0.415248;0.200432
Car;1;1;0.556094;0.383798
Car;1;1;0.48432;0.274697
Car;1;1;0.581324;0.233922
Car;1;1;0.372636;0.239081
Car;1;1;0.434804;0.29192
Car;1;1;0.459255;0.244023
Car;1;1;0.49349;0.220477
Car;1;1;0.41924;0.280592
Car;1;1;0.435621;0.316472
Car;1;1;0.401789;0.312653
Car;1;1;0.370503;0.263261
Car;1;1;0.412218;0.270221
Car;1;1;0.397592;0.278806
Car;1;1;0.408452;0.270595
Car;1;1;0.420596;0.335514
Car;1;1;0.44872;0.353124
Car;1;1;0.427725;0.277116
Car;1;1;0.434907;0.289478
Car;1;1;0.370499;0.272956
Car;1;1;0.424272;0.327593
Car;1;1;0.391218;0.292639
Car;1;1;0.370186;0.322184
Car;1;1;0.452933;0.392717
Car;1;1;0.379123;0.280799
Car;1;1;0.368071;0.280387
Car;1;1;0.444422;0.279125
Car;1;1;0.408422;0.270618
Car;1;1;0.474425;0.278394
Car;1;1;0.417937;0.255924
Car;1;1;0.471708;0.342551
Car;1;1;0.457116;0.277917
Car;1;1;0.480263;0.243615
Car;1;1;0.449711;0.266135
Car;1;1;0.572899;0.256844
Car;1;1;0.575809;0.237897
Car;1;1;0.449711;0.266135
Car;1;1;0.451667;0.262395
Car;1;1;0.445947;0.257979
Car;1;1;0.414485;0.315145
Car;1;1;0.474425;0.304335
Car;1;1;0.37686;0.459812
Car;1;1;0.366546;0.329595
Car;1;1;0.409488;0.383449
Car;1;1;0.340384;0.304589
Car;1;1;0.410098;0.574965
Car;1;1;0.641277;0.683678
Car;1;1;0.525759;0.466958
Car;1;1;0.659995;0.673179
Car;1;1;0.694834;0.496501
Cellphone;1;1;0.395394;0.150294
Cellphone;1;1;0.460257;0.181047
Cellphone;1;1;0.397138;0.223103
Cellphone;1;1;0.471188;0.125792
Cellphone;1;1;0.425948;0.140646
Cellphone;1;1;0.432404;0.150876
Cellphone;1;1;0.389683;0.129693
Cellphone;1;1;0.407863;0.190966
Cellphone;1;1;0.531423;0.104564
Cellphone;1;1;0.318015;0.201491
