class; vertices;faces;triangles;quads;bmin; bmax
Apartment;4158;7140;7140;0;(-0.949201, -0.826799, -0.444887);(0.665321, 0.896079, 0.51871)
Apartment;2022;3672;3672;0;(0, 0, 0);(0.785029, 0.975, 0.574765)
Apartment;8301;12810;12810;0;(0, 0, 0);(0.347449, 0.975, 0.296305)
Apartment;2335;4363;4363;0;(0, 0, 0);(0.21702, 0.975, 0.251523)
AquaticAnimal;18409;34877;34877;0;(0, 0, 0);(0.163371, 0.348761, 0.975)
AquaticAnimal;18143;33836;33836;0;(0, 0, 0);(0.254899, 0.371143, 0.975)
AquaticAnimal;19505;37072;37072;0;(0, 0, 0);(0.18151, 0.380146, 0.975)
AquaticAnimal;5814;10893;10893;0;(0, 0, 0);(0.168956, 0.367452, 0.975)
AquaticAnimal;18878;36278;36278;0;(0, 0, 0);(0.143963, 0.389443, 0.975)
AquaticAnimal;477;950;950;0;(0, 0, 0);(0.537049, 0.500211, 0.975)
AquaticAnimal;44;1680;1680;0;(0, 0, 0);(0.225, 0.225, 0.975)
AquaticAnimal;1606;3208;3208;0;(0, 0, 0);(0.348674, 0.407675, 0.975)
AquaticAnimal;216;337;337;0;(0, 0, 0);(0.18743, 0.443396, 0.975)
AquaticAnimal;241;478;478;0;(0, 0, 0);(0.131276, 0.749178, 0.975)
AquaticAnimal;1112;1792;1792;0;(0, 0, 0);(0.975, 0.724541, 0.777238)
AquaticAnimal;247;444;444;0;(0, 0, 0);(0.975, 0.545087, 0.1789)
AquaticAnimal;1004;1930;1930;0;(0, 0, 0);(0.399816, 0.604595, 0.975)
AquaticAnimal;4117;8196;8196;0;(0, 0, 0);(0.445705, 0.547553, 0.975)
AquaticAnimal;14000;27996;27996;0;(0, 0, 0);(0.975, 0.2497, 0.388988)
AquaticAnimal;553;1098;1098;0;(0, 0, 0);(0.975, 0.278519, 0.18743)
AquaticAnimal;317;560;560;0;(0, 0, 0);(0.357325, 0.264776, 0.975)
AquaticAnimal;320;560;560;0;(0, 0, 0);(0.454415, 0.266076, 0.975)
AquaticAnimal;420;836;836;0;(0, 0, 0);(0.32599, 0.371535, 0.975)
AquaticAnimal;331;590;590;0;(0, 0, 0);(0.456203, 0.262828, 0.975)
AquaticAnimal;285;564;564;0;(0, 0, 0);(0.975, 0.610865, 0.376181)
AquaticAnimal;162;336;336;0;(0, 0, 0);(0.354455, 0.321596, 0.975)
AquaticAnimal;298;512;512;0;(0, 0, 0);(0.538384, 0.299311, 0.975)
AquaticAnimal;1583;3164;3164;0;(0, 0, 0);(0.39593, 0.35314, 0.975)
AquaticAnimal;11578;23022;23022;0;(0, 0, 0);(0.975, 0.407994, 0.611203)
AquaticAnimal;468;734;734;0;(0, 0, 0);(0.975, 0.51665, 0.428181)
AquaticAnimal;166;226;226;0;(0, 0, 0);(0.975, 0.256171, 0.300958)
AquaticAnimal;1104;2104;2104;0;(0, 0, 0);(0.975, 0.308883, 0.416001)
AquaticAnimal;857;1673;1673;0;(0, 0, 0);(0.4145, 0.291, 0.975)
Bed;1867;3590;3590;0;(-0.669666, -0.708463, -0.267503);(0.930426, 0.726534, 0.312193)
Bed;1926;3644;3644;0;(-0.8889, -0.718484, -0.220014);(0.75223, 0.524562, 0.339705)
Bed;15368;24612;24612;0;(-0.912283, -0.599669, -0.482021);(0.78579, 0.858504, 0.463209)
Bed;7218;14204;14204;0;(-0.937684, -0.891329, -0.466361);(0.750002, 0.664602, 0.341943)
Bed;22063;34247;34247;0;(-0.667887, -0.532688, -0.412555);(0.81694, 0.866731, 0.546372)
Bed;2277;4536;4536;0;(-0.955079, -0.365319, -0.375599);(0.747501, 0.50444, 0.275625)
Bed;3238;6272;6272;0;(-0.842601, -0.54509, -0.3038);(0.881592, 0.411619, 0.422549)
Bed;2644;5259;5259;0;(-0.820216, -0.833938, -0.213808);(0.991699, 0.872106, 0.392634)
Bed;9342;14796;14796;0;(-0.94314, -0.415536, -0.520955);(0.864001, 0.599245, 0.520602)
Bed;12808;24736;24736;0;(-0.799888, -0.509407, -0.374758);(0.796046, 0.668083, 0.302302)
Bed;7136;13868;13868;0;(-0.838246, -0.479658, -0.325735);(0.8386, 0.702627, 0.411787)
Bed;415;838;838;0;(-0.832734, -0.47967, -0.39825);(0.876784, 0.747412, 0.346334)
Bed;6349;12251;12251;0;(-1.05698, -0.719045, -0.464456);(0.489625, 0.71651, 0.232915)
Bed;826;1628;1628;0;(-1.08588, -0.605613, -0.375019);(0.602982, 0.718594, 0.180431)
Bed;3752;7443;7443;0;(-0.863733, -0.550605, -0.421559);(0.833154, 0.377532, 0.282019)
Bed;453;684;684;0;(-0.644923, -0.684425, -0.312594);(1.11344, 0.73777, 0.476146)
Bed;1563;3154;3154;0;(-0.795864, -0.365307, -0.304602);(0.919097, 0.512459, 0.597853)
Bed;16364;32648;32648;0;(-0.800648, -0.877287, -0.351917);(0.864395, 0.569772, 0.290771)
Bed;13151;23918;23918;0;(-0.906979, -0.928304, -0.466867);(0.798208, 0.569391, 0.379395)
Bed;768;624;624;0;(-0.867888, -0.726326, -0.517681);(0.815509, 0.426407, 0.208921)
Bed;8116;15659;15659;0;(0, 0, 0);(0.740004, 0.813378, 0.975)
Bed;449;644;644;0;(0, 0, 0);(0.494149, 0.494147, 0.975)
Bed;441;584;584;0;(0, 0, 0);(0.721994, 0.445454, 0.975)
Bed;4597;9038;9038;0;(0, 0, 0);(0.975, 0.893382, 0.961408)
Bed;706;1388;1388;0;(0, 0, 0);(0.956207, 0.975, 0.489954)
Bed;437;724;724;0;(0, 0, 0);(0.769384, 0.889227, 0.975)
Bed;363;572;572;0;(0, 0, 0);(0.797947, 0.536752, 0.975)
Bicycle;2769;5049;5049;0;(-0.914299, -0.44062, -0.209935);(0.959955, 0.818183, 0.177847)
Bicycle;2192;4448;4448;0;(-1.0652, -0.389308, -0.281626);(0.878724, 0.704617, 0.310015)
Bicycle;25426;50650;50650;0;(-0.94097, -0.458162, -0.31764);(0.963824, 0.744808, 0.315601)
Bicycle;16416;32265;32265;0;(-0.846692, -0.658064, -0.363761);(1.04491, 0.486785, 0.288974)
Bicycle;22674;44740;44740;0;(-1.01698, -0.596377, -0.365122);(0.86983, 0.758111, 0.358418)
Bicycle;56754;111471;111471;0;(-0.981432, -0.593991, -0.276838);(0.933426, 0.611169, 0.23777)
Bicycle;6951;12939;12939;0;(-1.00041, -0.554131, -0.218428);(0.867701, 0.697751, 0.17829)
Bicycle;30832;60488;60488;0;(-0.885706, -0.552034, -0.459882);(1.02261, 0.679221, 0.437129)
Bicycle;34364;64544;64544;0;(-0.953013, -0.49476, -0.333261);(0.973589, 0.757895, 0.354566)
Bicycle;19417;37661;37661;0;(-1.01428, -0.539415, -0.283491);(0.938784, 0.584583, 0.236967)
Bicycle;436;916;916;0;(-0.923799, -0.503743, -0.288646);(0.991099, 0.689679, 0.266948)
Bicycle;2769;5049;5049;0;(-0.914804, -0.720661, -0.212118);(0.956869, 0.549773, 0.175426)
Bicycle;22495;44110;44110;0;(-0.993872, -0.56247, -0.307887);(0.942018, 0.649391, 0.280766)
Bicycle;3053;5484;5484;0;(-0.811559, -0.818838, -0.167292);(1.10338, 0.736372, 0.439656)
Bicycle;23397;45925;45925;0;(-0.942974, -0.638045, -0.298061);(0.971944, 0.560247, 0.284249)
Bicycle;22672;44707;44707;0;(-0.932407, -0.589276, -0.361317);(0.973915, 0.732026, 0.361906)
Bicycle;5354;10548;10548;0;(-0.959896, -0.599316, -0.196088);(0.953013, 0.637406, 0.191298)
Bicycle;29173;57224;57224;0;(-0.738729, -0.51995, -0.3426);(0.994006, 0.852751, 0.337158)
Bicycle;32603;64230;64230;0;(-0.920573, -0.400919, -0.432948);(0.849829, 0.684049, 0.135958)
Bicycle;6045;12065;12065;0;(-0.843326, -0.583879, -0.210511);(1.05063, 0.550897, 0.209059)
Bicycle;524;846;846;0;(0, 0, 0);(0.406458, 0.566816, 0.975)
Bicycle;2192;4448;4448;0;(0, 0, 0);(0.975, 0.557643, 0.314071)
Bicycle;6049;12065;12065;0;(0, 0, 0);(0.975, 0.513449, 0.232333)
Bicycle;436;916;916;0;(0, 0, 0);(0.299675, 0.574723, 0.975)
Bicycle;22682;44727;44727;0;(0, 0, 0);(0.975, 0.616046, 0.376031)
Bicycle;2769;5049;5049;0;(0, 0, 0);(0.975, 0.611666, 0.223576)
Biplane;3242;6326;6326;0;(-1.06342, -0.446842, -0.198847);(0.905137, 0.553446, 0.199738)
Biplane;287;348;348;0;(-0.948872, -0.416782, -0.129309);(0.947322, 0.85261, 0.255501)
Biplane;10942;8057;8057;0;(-0.870457, -0.469202, -0.176893);(0.487153, 0.592445, 0.125855)
Biplane;2584;3764;3764;0;(-1.01653, -0.38886, -0.234302);(0.915606, 1.07596, 0.339116)
Biplane;14082;9353;9353;0;(-0.984595, -0.395955, -0.193048);(0.998878, 0.632082, 0.139304)
Biplane;567;916;916;0;(-1.08018, -0.864861, -0.468883);(0.699036, 0.766394, 0.477538)
Biplane;22427;41567;41567;0;(-0.557817, -1.05515, -0.278621);(0.804851, 0.813411, 0.268756)
Biplane;9723;17476;17476;0;(-0.990106, -0.75142, -0.152266);(0.984606, 0.427939, 0.303238)
Biplane;5941;12536;12536;0;(-0.666583, -0.96762, -0.376918);(0.863905, 0.930583, 0.245878)
Biplane;2167;4254;4254;0;(-1.1498, -0.571534, -0.231691);(0.772427, 0.608046, 0.173266)
Biplane;24998;46318;46318;0;(-0.858495, -0.555024, -0.26707);(0.970724, 0.710541, 0.214749)
Biplane;5381;10522;10522;0;(-0.890078, -0.889517, -0.31532);(0.687934, 0.863811, 0.254273)
Biplane;18086;36024;36024;0;(-0.807461, -0.49454, -0.350623);(0.820881, 0.784118, 0.447235)
Biplane;20306;37102;37102;0;(-1.03189, -0.595964, -0.192579);(0.95107, 0.339843, 0.186078)
Biplane;624;1024;1024;0;(-0.845186, -0.93675, -0.236713);(0.628879, 0.935701, 0.317531)
Biplane;48973;77264;77264;0;(-0.958046, -0.738138, -0.336325);(0.976882, 0.796668, 0.259283)
Biplane;469;794;794;0;(-1.22452, -0.946743, -0.266142);(0.693364, 0.962328, 0.179309)
Biplane;18966;37292;37292;0;(-0.967073, -0.953196, -0.191033);(0.454312, 0.980111, 0.354826)
Biplane;45079;47490;47490;0;(-0.889169, -0.837059, -0.259336);(0.882175, 0.766087, 0.321112)
Biplane;27750;49863;49863;0;(-1.17911, -0.897227, -0.179258);(0.805355, 0.482773, 0.275993)
Biplane;10676;20408;20408;0;(0, 0, 0);(0.975, 0.231623, 0.526884)
Biplane;863;1550;1550;0;(0, 0, 0);(0.975, 0.379325, 0.815271)
Biplane;65722;129881;129881;0;(0, 0, 0);(0.975, 0.370037, 0.889139)
Biplane;1062;1913;1913;0;(0, 0, 0);(0.792248, 0.975, 0.328749)
Biplane;6704;11577;11577;0;(0, 0, 0);(0.93572, 0.975, 0.304519)
Biplane;1015;1756;1756;0;(0, 0, 0);(0.697675, 0.975, 0.318427)
Biplane;390;572;572;0;(0, 0, 0);(0.633082, 0.975, 0.240746)
Biplane;434;656;656;0;(0, 0, 0);(0.799082, 0.975, 0.274375)
Biplane;770;1316;1316;0;(0, 0, 0);(0.788134, 0.975, 0.236106)
Biplane;354;520;520;0;(0, 0, 0);(0.811053, 0.975, 0.219704)
Biplane;718;1232;1232;0;(0, 0, 0);(0.975, 0.967087, 0.241951)
Biplane;3351;6272;6272;0;(0, 0, 0);(0.975, 0.346551, 0.699508)
Biplane;482;768;768;0;(0, 0, 0);(0.705618, 0.975, 0.196732)
Biplane;882;1428;1428;0;(0, 0, 0);(0.7227, 0.975, 0.209765)
Biplane;624;1024;1024;0;(0, 0, 0);(0.769747, 0.975, 0.311217)
Biplane;338;512;512;0;(0, 0, 0);(0.542388, 0.975, 0.1732)
Biplane;264;360;360;0;(0, 0, 0);(0.545907, 0.975, 0.181047)
Biplane;904;1628;1628;0;(0, 0, 0);(0.559108, 0.975, 0.233333)
Biplane;408;524;524;0;(0, 0, 0);(0.461983, 0.975, 0.199618)
Biplane;2050;3586;3586;0;(0, 0, 0);(0.975, 0.907034, 0.377887)
Biplane;2920;4234;4234;0;(0, 0, 0);(0.647434, 0.975, 0.274384)
Biplane;11819;23138;23138;0;(0, 0, 0);(0.975, 0.310844, 0.62003)
Biplane;3336;6570;6570;0;(0, 0, 0);(0.504495, 0.975, 0.209713)
Biplane;3627;6736;6736;0;(0, 0, 0);(0.975, 0.716901, 0.291304)
Biplane;1700;3016;3016;0;(0, 0, 0);(0.88836, 0.32216, 0.975)
Bird;233;462;462;0;(-1.16401, -0.562623, -0.314817);(0.785119, 0.507858, 0.154772)
Bird;15871;31702;31702;0;(-0.989781, -0.565778, -0.557952);(0.729676, 0.957181, 0.602622)
Bird;8188;16135;16135;0;(-0.692378, -0.498351, -0.400888);(1.18953, 0.598524, 0.105716)
Bird;1247;2468;2468;0;(-0.928219, -0.966801, -0.185647);(0.947521, 0.625768, 0.258145)
Bird;12813;24753;24753;0;(-1.17434, -0.67701, -0.192772);(0.735516, 0.633247, 0.20922)
Bird;13253;26516;26516;0;(-1.17688, -0.422644, -0.266977);(0.723095, 0.608828, 0.202101)
Bird;260;364;364;0;(-0.777682, -0.188336, -0.049014);(1.19869, 0.343315, 0.043661)
Bird;1751;3498;3498;0;(-1.05762, -0.286252, -0.132731);(0.810894, 0.353767, 0.073903)
Bird;1824;3709;3709;0;(-1.18694, -0.545674, -0.194944);(0.786275, 0.371307, 0.064915)
Bird;9745;17119;17119;0;(-0.874312, -0.617021, -0.37487);(0.911395, 0.504857, 0.525607)
Bird;1162;2012;2012;0;(-1.23614, -0.288082, -0.248996);(0.715362, 0.408477, 0.150496)
Bird;1792;3626;3626;0;(-1.20739, -0.452237, -0.05299);(0.749861, 0.290011, 0.157614)
Bird;1091;1398;1398;0;(-0.757887, -0.803401, -0.705727);(1.14986, 0.63741, 0.286246)
Bird;2683;5388;5388;0;(-1.17894, -0.377306, -0.199);(0.767141, 0.24427, 0.340818)
Bird;3947;7898;7898;0;(-1.17942, -0.462894, -0.198137);(0.798489, 0.49027, 0.084683)
Bird;950;1896;1896;0;(-1.0453, -0.723664, -0.387123);(0.749594, 0.858881, 0.264739)
Bird;757;1507;1507;0;(-0.750402, -0.536856, -0.406756);(1.22133, 0.40871, 0.099096)
Bird;903;1794;1794;0;(-0.724867, -0.536531, -0.391794);(1.03105, 0.78013, 0.503437)
Bird;1344;2734;2734;0;(-1.19013, -0.684328, -0.061147);(0.793, 0.444631, 0.192211)
Bird;373;744;744;0;(-1.23089, -0.317419, -0.093164);(0.765237, 0.37941, 0.178191)
Bird;6076;11660;11660;0;(0, 0, 0);(0.468681, 0.578224, 0.975)
Bird;2972;5878;5878;0;(0, 0, 0);(0.346738, 0.914682, 0.975)
Bird;390;800;800;0;(0, 0, 0);(0.35945, 0.524749, 0.975)
Bird;1802;3548;3548;0;(0, 0, 0);(0.500847, 0.975, 0.514588)
Bird;1129;2246;2246;0;(0, 0, 0);(0.382772, 0.658333, 0.975)
Bird;3144;6164;6164;0;(0, 0, 0);(0.541498, 0.692456, 0.975)
Bird;233;462;462;0;(0, 0, 0);(0.975, 0.257154, 0.544293)
Bird;699;1394;1394;0;(0, 0, 0);(0.792373, 0.63608, 0.975)
Bird;1289;2503;2503;0;(0, 0, 0);(0.944541, 0.808922, 0.975)
Bird;567;1130;1130;0;(0, 0, 0);(0.975, 0.437258, 0.746203)
Bird;464;928;928;0;(0, 0, 0);(0.975, 0.260681, 0.292609)
Bird;649;1156;1156;0;(0, 0, 0);(0.883574, 0.975, 0.259557)
Bird;2684;5390;5390;0;(0, 0, 0);(0.975, 0.284845, 0.347879)
Bird;1824;3709;3709;0;(0, 0, 0);(0.975, 0.147249, 0.467716)
Bird;116;265;265;0;(0, 0, 0);(0.975, 0.210109, 0.497043)
Bird;41;54;54;0;(0, 0, 0);(0.927106, 0.606166, 0.975)
Bird;401;798;798;0;(0, 0, 0);(0.975, 0.458833, 0.2663)
Bird;16542;33072;33072;0;(0, 0, 0);(0.975, 0.290348, 0.486435)
Bird;101;165;165;0;(0, 0, 0);(0.695803, 0.148154, 0.975)
Bird;427;824;824;0;(0, 0, 0);(0.488025, 0.456093, 0.975)
Bird;2329;4364;4364;0;(0, 0, 0);(0.975, 0.800992, 0.691101)
Bird;93;182;182;0;(0, 0, 0);(0.406048, 0.564283, 0.975)
Bird;309;598;598;0;(0, 0, 0);(0.975, 0.479684, 0.551688)
Bird;294;560;560;0;(0, 0, 0);(0.975, 0.620667, 0.909953)
Bookset;444;3156;3156;0;(0, 0, 0);(0.42, 0.26, 0.27)
Bookset;320;816;816;0;(-0.050712, 0, 0);(0.215194, 0.665613, 0.2798)
Bookset;208;1152;1152;0;(0, 0, 0);(0.421721, 0.306934, 0.347472)
Bookset;2208;14844;14844;0;(0, 0, 0);(5.19411, 4.39184, 0.73787)
Bookset;668;2373;2373;0;(-1.91085, 0, -0.056548);(0, 0.885973, 0.221452)
Bookset;140;780;780;0;(0, 0, 0);(0.275274, 0.28956, 0.318973)
Bookset;360;918;918;0;(0, 0, -0.0004);(3.88854, 0.714241, 0.2794)
Bookset;1203;6861;6861;0;(0, 0, 0);(0.580868, 0.350384, 0.17145)
Bookset;624;2544;2544;0;(0, 0, 0);(0.534848, 0.29726, 0.300496)
Bookset;1628;9798;9798;0;(0, 0, 0);(0.333604, 0.453997, 1.88956)
Bookset;1203;6861;6861;0;(0, 0, 0);(0.21717, 0.306869, 0.269177)
Bookset;166;936;936;0;(0, 0, 0);(0.268736, 0.28956, 0.347472)
Bookset;110;624;624;0;(0, -0.020638, 0);(0.198004, 0.105497, 0.145403)
Bookset;1645;10185;10185;0;(-0.321083, -0.215404, -0.009347);(10.1815, 4.38127, 5.03626)
Bookset;2694;7149;7149;0;(0, 0, 0);(2.82142, 2.3333, 0.318973)
Bookset;188;1020;1020;0;(-0.108086, 0, 0);(0.072563, 0.246285, 0.24173)
Bookset;891;3231;3231;0;(0, -0.216593, -8.1e-05);(2.95549, 0.965678, 1.73271)
Bookset;247;1557;1557;0;(0, 0, 0);(0.191003, 0.230709, 0.326618)
Bookset;2417;14484;14484;0;(-1.3e-05, -2.41123, 0);(0.164425, 0, 0.316375)
Bookset;240;1524;1524;0;(0, 0, -0.233235);(13.5218, 7.62756, 7.39281)
Bottle;971;1710;1710;0;(-0.790026, -0.214855, -0.229202);(0.882518, 0.221754, 0.192811)
Bottle;1067;2044;2044;0;(-0.785998, -0.272641, -0.188644);(0.781472, 0.122641, 0.175108)
Bottle;2452;4860;4860;0;(-0.918061, -0.211906, -0.194712);(0.728216, 0.193114, 0.203996)
Bottle;23142;45936;45936;0;(-0.815243, -0.387408, -0.272684);(0.919484, 0.446434, 0.283991)
Bottle;7138;14272;14272;0;(-0.718902, -0.22924, -0.268809);(0.987358, 0.32021, 0.262583)
Bottle;2000;3640;3640;0;(-0.951203, -0.268748, -0.243702);(0.75863, 0.267936, 0.250368)
Bottle;1304;1764;1764;0;(-0.803887, -0.328824, -0.284716);(0.904402, 0.192929, 0.233906)
Bottle;829;1448;1448;0;(-0.831219, -0.338461, -0.336791);(0.878387, 0.349036, 0.344165)
Bottle;2426;4438;4438;0;(-1.01519, -0.171, -0.213249);(0.565986, 0.262845, 0.218416)
Bottle;569;921;921;0;(-0.894669, -0.219912, -0.214901);(0.867081, 0.226588, 0.262761)
Bottle;1499;2742;2742;0;(-0.598016, -0.500791, -0.411989);(0.998903, 0.328432, 0.406055)
Bottle;11448;18236;18236;0;(-0.608839, -0.461541, -0.356345);(0.952938, 0.284476, 0.333426)
Bottle;12640;23052;23052;0;(-0.906925, -0.229951, -0.271177);(0.809482, 0.305606, 0.25847)
Bottle;13754;25850;25850;0;(-1.0443, -0.155084, -0.20046);(0.652995, 0.302059, 0.209835)
Bottle;192;336;336;0;(-0.859195, -0.381496, -0.401455);(1.04485, 0.461388, 0.427899)
Bottle;446;856;856;0;(-0.881118, -0.445327, -0.163849);(0.954585, 0.519924, 0.155909)
Bottle;10163;18390;18390;0;(-1.36136, -0.332344, -0.318716);(0.600657, 0.276589, 0.290957)
Bottle;2474;4940;4940;0;(-0.674448, -0.151915, -0.214476);(1.01623, 0.287525, 0.213408)
Bottle;737;1242;1242;0;(-1.07424, -0.303107, -0.398902);(0.731591, 0.475795, 0.372505)
Bottle;479;892;892;0;(-0.808843, -0.275198, -0.198302);(0.69574, 0.10899, 0.186067)
Bottle;542;950;950;0;(0, 0, 0);(0.289643, 0.975, 0.292987)
Bottle;371;620;620;0;(0, 0, 0);(0.261391, 0.975, 0.261391)
Bottle;460;888;888;0;(0, 0, 0);(0.288882, 0.975, 0.28906)
Bottle;526;936;936;0;(0, 0, 0);(0.289643, 0.975, 0.289643)
Bottle;2101;3894;3894;0;(0, 0, 0);(0.301499, 0.975, 0.302639)
Bottle;133;290;290;0;(0, 0, 0);(0.313404, 0.975, 0.313404)
Bottle;144;284;284;0;(0, 0, 0);(0.975, 0.375332, 0.375214)
Bottle;558;1055;1055;0;(0, 0, 0);(0.343244, 0.975, 0.328845)
Bottle;574;1075;1075;0;(0, 0, 0);(0.363345, 0.975, 0.363345)
Bottle;544;997;997;0;(0, 0, 0);(0.549945, 0.975, 0.465025)
Bottle;360;724;724;0;(0, 0, 0);(0.295008, 0.295005, 0.975)
BuildingNonResidential;252;400;400;0;(0, 0, 0);(0.944817, 0.670641, 0.975)
BuildingNonResidential;2328;4460;4460;0;(0, 0, 0);(0.63328, 0.975, 0.588135)
BuildingNonResidential;2984;4686;4686;0;(0, 0, 0);(0.975, 0.289902, 0.871086)
BuildingNonResidential;674;918;918;0;(0, 0, 0);(0.899, 0.975, 0.626562)
BuildingNonResidential;532;1008;1008;0;(0, 0, 0);(0.950794, 0.975, 0.940744)
BuildingNonResidential;844;1668;1668;0;(0, 0, 0);(0.975, 0.422906, 0.920334)
BuildingNonResidential;2509;5100;5100;0;(0, 0, 0);(0.74158, 0.975, 0.650205)
BuildingNonResidential;40;45;45;0;(0, 0, 0);(0.846817, 0.752337, 0.952219)
BuildingNonResidential;246;274;274;0;(0, 0, 0);(0.608136, 0.804944, 0.975)
BuildingNonResidential;33;80;80;0;(0, 0, 0);(0.816667, 0.975, 0.341667)
BuildingNonResidential;241;326;326;0;(0, 0, 0);(0.975, 0.635937, 0.847742)
BuildingNonResidential;750;1246;1246;0;(0, 0, 0);(0.898423, 0.975, 0.898642)
BuildingNonResidential;630;696;696;0;(0, 0, 0);(0.928504, 0.973995, 0.975)
BuildingNonResidential;445;470;470;0;(0, 0, 0);(0.949627, 0.975, 0.825751)
BuildingNonResidential;1362;2680;2680;0;(0, 0, 0);(0.975, 0.927504, 0.974999)
BuildingNonResidential;498;936;936;0;(0, 0, 0);(0.870248, 0.642704, 0.975)
BuildingNonResidential;7530;13536;13536;0;(0, 0, 0);(0.975, 0.607391, 0.971631)
BuildingNonResidential;488;840;840;0;(0, 0, 0);(0.778448, 0.788603, 0.975)
BuildingNonResidential;6936;13373;13373;0;(0, 0, 0);(0.975, 0.20617, 0.975)
BuildingNonResidential;21288;41661;41661;0;(0, 0, 0);(0.65003, 0.975, 0.665527)
BuildingNonResidential;1054;2752;2752;0;(0, 0, 0);(0.975, 0.427949, 0.745506)
BuildingNonResidential;21009;41835;41835;0;(0, 0, 0);(0.975, 0.869668, 0.944047)
BuildingNonResidential;7328;13892;13892;0;(0, 0, 0);(0.703779, 0.975, 0.678502)
BuildingNonResidential;229;404;404;0;(0, 0, 0);(0.799381, 0.975, 0.756027)
BuildingNonResidential;1252;2372;2372;0;(0, 0, 0);(0.644812, 0.592935, 0.975)
BuildingNonResidential;1509;1988;1988;0;(0, 0, 0);(0.975, 0.221457, 0.708173)
BuildingNonResidential;1217;2076;2076;0;(0, 0, 0);(0.975, 0.441981, 0.945721)
BuildingNonResidential;1990;2820;2820;0;(0, 0, 0);(0.975, 0.12811, 0.511585)
BuildingNonResidential;3749;7282;7282;0;(0, 0, 0);(0.975, 0.880604, 0.882794)
BuildingNonResidential;1056;1944;1944;0;(0, 0, 0);(0.975, 0.724105, 0.975)
