class; aligned_on_x ; aligned_on_y ; aligned_on_z ; flipped_on_x ; flipped_on_y ; flipped_on_z
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;1;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;1;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;0;1;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;1;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
BuildingNonResidential;1;1;1;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;1;0;0;1;1;1
BuildingNonResidential;0;0;0;1;1;1
Bus;0;0;1;1;1;1
Bus;1;0;0;1;1;1
Bus;0;0;0;1;1;1
Bus;0;0;1;1;1;1
Bus;1;1;1;1;0;1
Bus;0;0;1;1;0;1
Bus;1;1;1;1;1;1
Bus;0;0;1;1;0;1
Bus;1;0;0;1;0;1
Bus;1;1;1;1;1;1
Bus;0;0;1;0;1;1
Bus;1;1;1;0;1;1
Bus;1;1;1;1;1;1
Bus;0;0;1;1;1;1
Bus;0;0;0;1;1;1
Bus;1;0;0;1;1;1
Bus;1;0;0;1;1;0
Bus;0;0;1;1;1;1
Bus;0;0;1;1;1;1
Bus;1;1;1;1;0;1
Car;1;1;1;0;1;1
Car;1;1;1;0;1;1
Car;1;1;1;0;1;0
Car;1;1;1;0;0;0
Car;1;1;1;0;1;1
Car;1;1;1;0;0;0
Car;1;1;1;1;1;1
Car;1;1;1;0;1;1
Car;1;1;1;0;1;1
Car;1;1;1;0;1;0
Car;1;1;1;0;1;1
Car;1;1;1;1;0;0
Car;1;1;1;0;0;1
Car;1;1;1;0;0;0
Car;1;1;1;0;0;1
Car;1;1;1;0;1;1
Car;1;1;1;1;1;1
Car;1;1;1;1;1;0
Car;1;1;1;1;1;0
Car;1;1;1;1;0;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;1;1;1;1;1
Car;0;0;0;1;1;1
Car;1;1;1;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;1;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;1;1;1;1;1
Car;1;1;1;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;1;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;1;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;1;1;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Car;0;0;0;1;1;1
Car;1;1;1;1;1;1
Car;0;0;0;1;1;1
Car;1;0;0;1;1;1
Car;0;0;0;1;1;1
Cellphone;1;1;1;0;0;1
Cellphone;1;1;1;1;0;1
Cellphone;1;1;1;0;0;0
Cellphone;1;1;1;0;0;1
Cellphone;1;1;1;1;1;0
Cellphone;1;1;1;0;0;0
Cellphone;1;1;1;0;1;1
Cellphone;1;1;1;0;1;0
Cellphone;1;1;1;0;1;1
Cellphone;1;1;1;1;1;1
Cellphone;1;1;1;1;1;0
Cellphone;1;1;1;1;0;0
Cellphone;1;1;1;0;0;1
Cellphone;1;1;1;0;1;1
Cellphone;1;1;1;1;1;0
Cellphone;1;1;1;0;0;0
Cellphone;1;1;1;0;1;0
Cellphone;1;1;1;0;0;0
Cellphone;1;1;1;1;1;0
Cellphone;1;1;1;0;1;0
Chess;1;1;1;1;0;0
Chess;0;0;0;1;1;1
Chess;1;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;1;1;1;1;1;1
Chess;1;1;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
Chess;1;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;1;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
Chess;0;0;0;1;1;1
Chess;1;0;0;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;1;1;1;1
Chess;0;0;0;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;0;1;1;1
City;0;0;0;1;1;1
City;0;0;0;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;1;1;1;1
City;0;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;1;0;0;1;1;1
City;0;0;0;1;1;1
City;0;0;0;1;1;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;0;0;1;0;0;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;0;0;1;1;1;0
ClassicPiano;1;1;1;1;1;1
ClassicPiano;1;1;1;1;1;1
ClassicPiano;1;1;1;0;1;1
ClassicPiano;0;0;1;1;0;1
ClassicPiano;1;1;1;0;1;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;1;1;1;1;1;1
ClassicPiano;1;1;1;1;0;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;0;0;1;1;1;1
ClassicPiano;1;1;1;1;1;1
ClassicPiano;1;1;1;1;1;1
ClassicPiano;1;1;1;1;0;1
Computer;1;1;1;1;1;1
Computer;0;1;0;1;1;0
Computer;0;0;1;1;1;1
Computer;1;0;0;1;1;1
Computer;1;0;0;1;1;1
Computer;0;0;0;1;1;1
Computer;0;0;0;1;1;1
Computer;0;0;0;1;0;1
Computer;0;0;1;1;1;1
Computer;1;1;1;1;1;1
Computer;1;0;0;1;1;1
Computer;1;1;0;1;1;1
Computer;0;0;0;1;1;1
Computer;1;0;0;1;1;1
Computer;1;1;1;0;0;1
Computer;0;0;1;1;1;1
Computer;0;0;1;1;1;1
Computer;1;0;0;1;1;1
Computer;0;0;0;1;1;1
Computer;0;0;1;1;1;1
Computer;1;0;0;1;1;1
Computer;0;0;1;1;1;1
Computer;0;0;1;1;1;1
Computer;1;1;1;1;1;1
Computer;0;0;0;1;1;1
Computer;1;0;0;1;1;1
Computer;1;0;0;1;1;1
Computer;1;0;0;1;1;1
Computer;1;1;1;1;1;1
Computer;0;0;1;1;1;1
Computer;0;0;1;1;1;1
Computer;1;1;1;1;1;1
Computer;0;0;0;1;1;1
ComputerKeyboard;1;1;1;0;0;0
ComputerKeyboard;0;0;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;1;1;1;1;0;1
ComputerKeyboard;1;1;1;1;0;1
ComputerKeyboard;0;0;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;0;0;1;1;0;1
ComputerKeyboard;0;0;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;0;0;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;1;1;1;0;1;1
ComputerKeyboard;1;1;1;1;1;1
ComputerKeyboard;0;0;1;0;1;1
ComputerKeyboard;1;1;1;1;1;1
Cup;1;1;1;0;0;0
Cup;1;1;1;0;1;0
Cup;1;1;1;0;1;0
Cup;1;1;1;1;0;1
Cup;1;0;0;0;1;0
Cup;1;1;1;0;1;0
Cup;1;0;0;1;0;0
Cup;1;1;1;1;0;0
Cup;1;1;1;1;1;0
Cup;1;0;0;1;1;0
Cup;1;0;0;0;0;1
Cup;1;1;1;1;1;0
Cup;1;1;1;1;0;0
Cup;1;0;0;1;1;0
Cup;1;1;1;1;1;0
Cup;1;1;1;1;0;0
Cup;1;1;1;0;1;0
Cup;1;1;1;0;1;0
Cup;1;1;1;0;1;0
Cup;1;1;1;0;1;0
Cup;0;1;0;1;1;1
Cup;0;0;1;1;1;1
Cup;0;0;1;1;1;1
Cup;0;1;0;1;1;1
Cup;0;0;1;1;1;1
Cup;0;0;0;1;1;1
Cup;0;1;0;1;1;1
Cup;0;0;1;1;1;1
Cup;0;0;1;1;1;1
Cup;1;1;1;1;1;1
DeskLamp;1;1;1;0;1;1
DeskLamp;1;1;1;1;1;1
DeskLamp;1;1;1;0;1;0
DeskLamp;1;1;1;0;1;0
DeskLamp;1;1;1;1;0;1
DeskLamp;1;1;1;1;1;1
DeskLamp;1;1;1;0;1;0
DeskLamp;1;1;1;0;1;0
DeskLamp;1;1;1;0;0;0
DeskLamp;1;1;1;0;1;0
DeskLamp;1;1;1;1;0;0
DeskLamp;1;1;1;0;1;1
DeskLamp;1;0;0;0;1;0
DeskLamp;1;0;0;1;0;0
DeskLamp;1;1;1;0;1;0
DeskLamp;1;1;1;1;1;0
DeskLamp;1;1;1;1;0;0
DeskLamp;1;1;1;0;0;0
DeskLamp;1;1;1;1;0;1
DeskLamp;1;1;1;1;1;0
DeskLamp;0;0;0;1;1;1
DeskLamp;0;0;1;1;1;1
DeskLamp;0;0;0;1;1;1
DeskLamp;0;0;1;1;1;1
DeskLamp;0;0;1;1;1;1
DeskLamp;0;1;0;1;1;1
DeskLamp;0;0;1;1;1;1
DeskLamp;1;1;1;1;1;1
DeskLamp;0;0;0;1;1;1
DeskLamp;1;1;1;1;1;1
DeskLamp;0;0;1;1;1;1
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;1;1;0
DeskPhone;1;1;1;0;0;0
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;1;0;1
DeskPhone;1;1;1;1;0;1
DeskPhone;1;1;1;1;0;0
DeskPhone;1;1;1;1;0;0
DeskPhone;1;1;1;0;0;1
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;0;1;0
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;1;0;0
DeskPhone;1;1;1;0;0;0
DeskPhone;1;1;1;0;1;1
DeskPhone;1;1;1;0;0;0
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;1;1;1
DeskPhone;1;1;1;0;1;0
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;0;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;1;1;1;1;1;1
Door;0;0;1;1;1;1
Door;1;1;1;1;1;1
Door;1;1;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;0;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;0;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;1;1;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;1;1;1;1;1;1
Door;1;1;1;1;1;1
Door;1;1;1;1;1;1
Door;1;1;1;1;1;1
Door;0;0;1;1;1;1
Door;0;0;1;1;1;1
Door;1;1;1;1;1;1
Door;1;1;1;1;1;1
Drum;0;1;0;1;1;1
Drum;0;0;0;1;1;1
Drum;1;1;1;1;1;1
Drum;1;1;1;1;1;1
Drum;0;0;0;1;1;1
Drum;0;0;0;1;1;1
Drum;0;1;0;1;1;1
Drum;0;1;0;0;1;1
Drum;1;1;1;1;1;1
Drum;0;0;0;1;1;1
Drum;1;1;1;1;1;1
Drum;0;1;0;1;1;1
Drum;0;1;0;1;1;1
Drum;0;1;0;1;1;1
Drum;0;0;0;1;0;1
Drum;1;1;1;1;1;1
Drum;0;1;0;1;1;1
Drum;0;0;0;1;1;1
Drum;0;1;0;1;1;1
Drum;1;1;1;0;0;1
Fish;1;1;1;0;0;0
Fish;1;1;1;0;0;0
Fish;1;1;1;0;0;0
Fish;1;1;1;1;1;0
Fish;1;1;1;1;1;0
Fish;1;1;1;1;0;1
Fish;1;1;1;0;0;0
Fish;1;1;1;0;0;0
Fish;1;1;1;0;1;0
Fish;1;1;1;1;1;0
Fish;1;1;1;0;0;0
Fish;1;1;1;0;1;0
Fish;1;1;1;1;1;0
Fish;1;1;1;1;0;0
Fish;1;1;1;1;1;0
Fish;1;1;1;1;0;0
Fish;1;1;1;0;0;0
Fish;1;1;1;1;1;0
Fish;1;1;1;1;1;0
Fish;1;1;1;0;1;0
FloorLamp;1;1;1;1;1;1
FloorLamp;0;1;0;0;0;1
FloorLamp;1;1;1;0;1;0
FloorLamp;1;1;1;1;0;1
FloorLamp;1;0;0;0;1;1
FloorLamp;1;1;1;1;1;0
FloorLamp;1;1;1;1;1;1
FloorLamp;1;1;1;1;1;0
FloorLamp;1;1;1;0;0;1
FloorLamp;1;1;1;0;0;1
FloorLamp;1;1;1;0;0;0
FloorLamp;1;1;1;1;1;1
FloorLamp;1;1;1;0;0;0
FloorLamp;1;1;1;1;0;1
FloorLamp;1;1;1;0;1;0
FloorLamp;1;1;1;0;1;1
FloorLamp;1;1;1;1;1;1
FloorLamp;1;1;1;1;1;1
FloorLamp;1;1;1;1;0;0
FloorLamp;1;0;0;1;0;1
FloorLamp;0;0;0;1;1;1
FloorLamp;0;0;1;1;1;1
FloorLamp;0;0;1;1;1;1
FloorLamp;0;0;1;1;1;1
FloorLamp;0;0;0;1;1;1
FloorLamp;0;0;0;1;1;1
FloorLamp;0;0;0;1;1;1
FloorLamp;0;0;0;1;1;1
Glasses;1;1;1;1;0;1
Glasses;1;1;1;1;1;0
Glasses;1;1;1;1;0;1
Glasses;1;1;1;1;0;0
Glasses;1;1;1;0;0;1
Glasses;1;1;1;1;0;1
Glasses;1;1;1;1;1;0
Glasses;1;1;1;0;1;0
Glasses;1;1;1;0;0;0
Glasses;1;1;1;0;0;1
Glasses;1;1;1;1;0;0
Glasses;1;1;1;1;1;0
Glasses;1;1;1;1;1;0
Glasses;1;1;1;0;0;0
Glasses;1;1;1;1;1;1
Glasses;1;1;1;1;0;1
Glasses;1;1;1;1;1;0
Glasses;1;1;1;1;1;1
Glasses;1;1;1;0;0;0
Glasses;1;1;1;0;0;0
Guitar;1;1;1;1;1;1
Guitar;1;1;1;0;1;0
Guitar;1;1;1;0;0;1
Guitar;1;1;1;1;1;0
Guitar;1;1;1;1;1;0
Guitar;1;1;1;0;0;0
Guitar;1;1;1;1;1;1
Guitar;1;1;1;0;0;1
Guitar;1;1;1;0;0;1
Guitar;1;1;1;0;1;0
Guitar;1;1;1;0;0;1
Guitar;1;1;1;1;0;1
Guitar;1;1;1;0;1;1
Guitar;1;1;1;0;0;1
Guitar;1;1;1;0;1;1
Guitar;1;1;1;1;0;1
Guitar;1;1;1;0;1;0
Guitar;1;1;1;1;0;1
Guitar;1;1;1;0;0;1
Guitar;1;1;1;1;0;1
Gun;1;1;1;0;1;1
Gun;1;1;1;0;1;0
Gun;1;1;1;0;0;0
Gun;1;1;1;1;0;1
Gun;1;1;1;1;0;0
Gun;1;1;1;1;0;1
Gun;1;1;1;1;0;0
Gun;1;1;1;0;0;1
Gun;1;1;1;1;0;1
Gun;1;1;1;1;0;0
Gun;1;1;1;0;1;1
Gun;1;1;1;1;1;1
Gun;1;1;1;1;1;1
Gun;1;1;1;1;1;0
Gun;1;1;1;1;1;0
Gun;1;1;1;1;0;0
Gun;1;1;1;0;0;0
Gun;1;1;1;0;1;0
Gun;1;1;1;1;0;0
Gun;1;1;1;0;1;1
Gun;1;1;1;1;1;1
Gun;1;1;1;1;1;1
Gun;1;1;1;1;1;1
Gun;0;1;0;1;1;1
Gun;0;1;0;1;1;1
Gun;1;1;1;1;1;1
